year,day_of_week,hour_of_day,minute,num_rides
2021,7,0,58,18
2021,6,0,17,30
2021,5,0,49,15
2015,6,0,16,279
2015,2,0,56,91
2016,3,0,54,136
2016,2,0,8,283
2015,4,0,48,111
2016,6,0,15,359
2015,3,0,48,127
2017,6,0,50,247
2017,2,0,43,199
2016,5,0,59,182
2017,5,0,32,305
2016,4,0,36,229
2017,7,0,39,436
2016,7,0,9,500
2016,1,0,18,454
2017,2,0,25,221
2016,4,0,25,226
2017,4,0,12,337
2014,4,0,25,148
2016,4,0,0,318
2017,3,0,30,205
2017,4,0,16,299
2017,3,0,50,170
2017,2,0,50,181
2016,4,0,38,207
2017,5,0,18,379
2017,4,0,28,272
2017,6,0,24,378
2017,2,0,11,279
2016,5,0,36,227
2015,1,0,42,288
2015,4,0,49,126
2015,5,0,51,152
2017,5,0,11,417
2017,3,0,28,230
2016,2,0,7,277
2015,6,0,26,233
2017,6,0,36,293
2017,3,0,27,216
2014,3,0,53,88
2016,2,0,33,198
2017,3,0,41,182
2016,3,0,25,215
2016,3,0,42,159
2015,4,0,25,228
2016,2,0,46,179
2017,3,0,42,207
2015,7,0,47,299
2015,5,0,49,175
2016,3,0,26,214
2015,5,0,30,227
2015,5,0,58,142
2014,6,0,59,139
2016,7,0,51,326
2013,4,0,47,87
2015,5,0,46,156
2015,1,0,58,288
2015,6,0,34,215
2014,2,0,58,100
2015,5,0,35,178
2017,3,0,40,188
2015,2,0,47,136
2015,6,0,22,247
2015,3,0,30,151
2016,3,0,24,181
2015,5,0,27,224
2015,2,0,38,151
2015,2,0,46,136
2021,2,0,18,19
2021,7,0,26,25
2013,5,0,39,117
2021,2,0,5,20
2016,3,0,30,217
2021,1,0,16,34
2021,1,0,0,46
2013,3,0,29,106
2021,1,0,47,27
2021,1,0,13,24
2021,4,0,9,21
2021,7,0,5,23
2014,3,0,36,114
2021,5,0,47,13
2014,5,0,50,137
2013,2,0,40,83
2021,5,0,51,16
2021,1,0,18,29
2021,4,0,38,12
2021,3,0,27,18
2021,4,0,4,27
2021,1,0,48,14
2021,3,0,25,12
2021,4,0,51,19
2021,3,0,20,12
2021,3,0,32,17
2021,7,0,38,18
2021,5,0,29,20
2021,1,0,53,31
2021,3,0,48,20
2021,1,0,23,23
2021,3,0,7,10
2021,1,0,37,23
2021,5,0,18,19
2021,3,0,39,9
2021,7,0,39,21
2021,1,0,24,22
2021,3,0,15,17
2021,4,0,27,13
2021,5,0,5,29
2021,3,0,3,20
2021,1,0,8,39
2021,2,0,17,15
2021,1,0,44,23
2021,6,0,53,22
2021,7,0,31,13
2021,1,0,17,44
2021,3,0,19,9
2021,2,0,16,14
2021,6,0,38,27
2021,2,0,53,4
2021,2,0,49,6
2021,3,0,23,14
2021,2,0,57,10
2021,1,0,2,43
2021,4,0,31,9
2021,5,0,20,21
2021,5,0,30,15
2021,4,0,46,18
2021,1,0,41,28
2021,5,0,22,19
2021,2,0,33,8
