year,day_of_week,hour_of_day,num_rides
2013,7,16,68101
2013,7,11,52747
2014,6,10,51290
2014,3,19,89090
2014,2,16,83633
2013,6,15,51565
2013,2,10,29037
2014,7,0,15601
2014,4,9,88455
2013,2,22,19864
2013,1,15,61561
2013,3,11,30740
2013,5,2,2179
2013,1,20,32728
2013,1,6,2869
2014,3,6,35993
2014,3,20,59678
2013,1,4,2701
2014,4,20,56060
2013,2,17,82818
2013,4,12,40189
2013,4,21,32737
2013,1,0,14392
2013,6,8,67085
2014,5,10,45444
2013,5,21,27595
2013,4,10,33076
2013,2,14,37882
2013,6,12,42126
2014,5,8,107352
2014,2,17,134162
2014,4,8,116497
2014,4,17,124574
2013,5,10,31763
2013,5,11,30163
2014,1,23,15687
2013,5,7,40290
2014,5,9,83437
2013,4,1,3409
2013,4,22,24966
2014,2,20,59755
2014,1,0,16283
2013,1,2,6973
2014,5,23,21217
2014,7,22,25152
2013,1,1,10321
2014,4,23,18991
2013,2,6,17258
2014,4,2,2458
2013,7,2,5905
2013,6,6,16189
2014,2,4,1740
2013,7,6,3636
2014,7,7,11790
2014,6,5,6989
2014,7,4,2877
2013,1,5,1588
2014,6,3,1986
2014,5,2,2311
2013,3,4,1140
2013,4,3,1103
2013,5,4,1270
2013,3,3,836
2016,4,21,72361
2015,6,11,63471
2015,3,6,42859
2016,1,14,139218
2015,5,19,103217
2015,7,16,96067
2015,7,19,63975
2015,1,8,23577
2015,1,17,94591
2015,4,23,23806
2015,5,21,47682
2015,7,14,98684
2015,4,20,72390
2016,1,21,44909
2015,5,10,64639
2015,2,14,71345
2016,2,10,75014
2015,4,0,11191
2015,7,2,8084
2015,1,6,4839
2016,7,17,127699
2015,1,5,2412
2015,3,22,35668
2015,1,22,26299
2015,1,23,17301
2015,6,13,81554
2016,3,7,124705
2016,6,23,34028
2015,6,6,35384
2015,2,3,1489
2015,1,1,13600
2015,1,2,8519
2016,5,22,52925
2016,2,1,5733
2015,4,6,44096
2016,2,23,24200
2015,3,5,10421
2015,5,7,87838
2016,5,5,15023
2015,7,0,18618
2017,7,4,4517
2016,1,8,33316
2017,7,23,39963
2016,4,23,32381
2017,4,9,188494
2016,2,0,12213
2016,5,0,16601
2017,5,15,132301
2016,1,1,17180
2015,2,6,37600
2016,1,7,16120
2016,3,0,12185
2017,3,0,14144
2017,2,0,14618
2015,6,4,2277
2017,1,0,29255
2015,3,3,1341
2017,3,2,3139
2016,2,3,1868
2017,2,22,50368
2016,7,5,3862
2014,4,3,1490
2017,6,2,5385
2017,6,4,3617
2016,3,5,15231
2016,3,4,2973
2017,2,2,3722
2017,4,3,2167
2017,7,1,17409
2015,6,3,2318
2017,2,4,3417
2017,7,3,6994
2017,5,2,4167
2017,3,5,19736
2017,5,4,3485
2017,1,4,4994
2017,3,4,3428
2018,3,10,104686
2018,2,16,169448
2021,4,20,5526
2020,1,8,60611
2021,4,18,12840
2020,2,14,159938
2020,2,4,4804
2021,3,21,3262
2021,2,20,5326
2021,6,10,8150
2021,5,5,1338
2021,1,4,352
2020,5,4,5118
2021,5,4,383
2021,7,11,13522
2021,3,1,482
2020,5,3,4298
2020,7,3,8835
2021,3,6,4515
2020,3,3,3851
2020,6,4,5491
2020,1,2,16090
2019,5,21,94176
2021,3,15,10421
2018,7,1,20611
2018,1,22,44694
2020,7,7,45596
2018,6,21,71803
2018,7,8,63768
2018,2,6,65658
2020,1,3,9771
2020,3,4,5290
2021,5,16,13914
2021,7,8,4349
2020,2,6,56969
2018,2,22,54133
2018,1,3,8455
2018,6,6,63559
2018,1,0,31049
2021,2,14,11926
2019,6,23,56215
2021,3,17,13402
2019,4,0,19833
2018,1,2,13038
2018,3,3,2602
2019,2,2,5397
2021,2,11,8367
2021,5,12,9153
2021,5,8,11405
2019,6,3,4974
2018,3,0,15304
2021,3,22,2472
2021,7,17,12441
2021,1,20,3725
2018,1,1,20166
2018,1,6,10045
2021,3,11,7445
2021,2,9,8143
2021,2,21,3166
2021,3,19,8699
2021,4,9,9205
2019,5,1,10486
2021,1,19,5268
2021,6,0,1510
2018,4,3,2739
2019,3,0,17956
2019,3,23,41106
2019,5,2,5965
2018,4,1,8540
2020,1,5,6961
2021,2,7,6393
2019,1,3,11596
2021,3,14,9608
2021,4,6,4507
2019,2,0,17685
2021,7,20,5282
2019,7,7,41800
2019,6,1,13555
2019,7,2,16370
2018,3,1,7497
2021,1,3,495
2021,1,8,3637
2021,4,7,7696
2018,6,4,4452
2021,1,2,721
2019,4,3,3662
2019,1,4,7273
2019,3,4,6179
2019,2,3,3608
2019,4,1,9906
2018,2,4,4348
2018,3,2,4033
2021,1,5,415
2018,3,4,4594
2018,6,5,18322
2021,6,4,470
2021,7,3,335
2018,4,4,4484
2018,1,5,4261
2019,5,3,3854
2021,2,2,291
2019,4,2,5574
2021,7,6,1255
2021,6,5,1268
2014,5,4,1671
2014,6,16,94635
2015,4,18,165900
2015,3,7,87924
2015,5,12,70530
2016,3,14,97792
2017,3,17,257713
2015,2,15,76653
2015,3,20,71268
2016,4,17,231882
2016,2,8,180902
